Date,Open,High,Low,Close,Adj Close,Volume
2017-04-06,795.000000,802.400024,790.049988,793.750000,727.694397,49628
2017-04-07,790.049988,797.950012,790.049988,794.500000,728.382019,24474
2017-04-10,794.400024,795.450012,790.049988,791.250000,725.402466,22722
2017-04-11,794.950012,794.950012,785.049988,789.650024,723.935669,22412
2017-04-12,790.700012,791.150024,773.000000,775.849976,711.284058,18092
2017-04-13,778.150024,790.000000,772.000000,778.150024,713.392700,17160
2017-04-17,779.400024,782.200012,761.650024,765.750000,702.024658,15590
2017-04-18,769.950012,769.950012,750.200012,757.750000,694.690369,24342
2017-04-19,759.950012,759.950012,745.000000,747.250000,685.064148,22684
2017-04-20,749.950012,751.500000,739.099976,740.700012,679.059265,44865
2017-04-21,751.000000,751.000000,729.000000,735.900024,674.658691,63482
2017-04-24,739.000000,742.750000,732.299988,736.450012,675.162964,19622
2017-04-25,738.000000,739.950012,734.599976,737.849976,676.446411,107996
2017-04-26,742.950012,747.000000,738.049988,745.049988,683.047119,17303
2017-04-27,747.000000,758.799988,740.049988,756.400024,693.452759,15859
2017-04-28,760.000000,777.849976,755.000000,768.250000,704.316528,25344
2017-05-02,769.000000,776.099976,764.700012,771.750000,707.525269,16768
2017-05-03,780.000000,787.000000,775.099976,784.200012,718.939209,42473
2017-05-04,775.150024,795.700012,770.000000,780.549988,715.592957,141062
2017-05-05,775.549988,789.950012,769.000000,771.349976,707.158569,46935
2017-05-08,773.000000,776.950012,763.000000,771.549988,707.342041,11253
2017-05-09,766.750000,770.900024,755.000000,759.500000,696.294800,12584
2017-05-10,761.049988,762.000000,750.400024,754.650024,691.848206,300853
2017-05-11,750.900024,764.950012,750.000000,759.799988,696.569702,46322
2017-05-12,756.200012,766.500000,755.000000,759.799988,696.569702,10695
2017-05-15,769.950012,772.000000,760.049988,766.549988,702.757996,11865
2017-05-16,763.049988,771.000000,763.049988,768.750000,704.774902,7209
2017-05-17,768.750000,768.750000,760.000000,763.950012,700.374512,66684
2017-05-18,764.599976,764.849976,760.000000,762.200012,698.770020,8635
2017-05-19,760.000000,764.950012,755.049988,757.049988,694.048584,43975
2017-05-22,755.500000,759.049988,745.049988,747.849976,685.614258,12414
2017-05-23,754.849976,754.849976,732.450012,735.299988,674.108582,17089
2017-05-24,739.950012,740.950012,732.200012,736.700012,675.392212,9931
2017-05-25,737.000000,740.950012,732.049988,737.549988,676.171448,10622
2017-05-26,744.700012,754.950012,737.549988,748.500000,686.210205,37289
2017-05-29,746.000000,747.849976,731.049988,734.349976,673.237732,11083
2017-05-30,736.000000,745.000000,734.500000,736.099976,674.842102,8466
2017-05-31,739.900024,739.900024,732.000000,736.099976,674.842102,11583
2017-06-01,735.000000,739.950012,733.049988,737.000000,675.667175,29318
2017-06-02,735.250000,739.950012,733.549988,736.700012,675.392212,29412
2017-06-05,777.000000,777.000000,735.049988,739.150024,677.638367,12756
2017-06-06,739.950012,739.950012,734.000000,735.950012,674.704651,12419
2017-06-07,735.099976,739.950012,733.049988,735.349976,674.154541,7746
2017-06-08,730.000000,739.950012,730.000000,736.049988,674.796143,14658
2017-06-09,739.950012,739.950012,730.150024,732.799988,671.816833,9661
2017-06-12,738.950012,738.950012,730.000000,731.900024,670.991577,41054
2017-06-13,731.000000,737.000000,729.000000,730.099976,669.341187,31240
2017-06-14,731.950012,737.000000,729.049988,730.400024,669.616333,10077
2017-06-15,730.000000,735.000000,729.250000,731.750000,670.853943,15689
2017-06-16,729.450012,735.500000,729.450012,730.799988,669.983093,18163
2017-06-19,735.000000,736.000000,730.000000,732.450012,671.495728,18469
2017-06-20,732.549988,734.900024,730.049988,732.650024,671.679138,13430
2017-06-21,732.700012,735.000000,730.049988,732.650024,671.679138,7990
2017-06-22,734.799988,734.950012,729.700012,731.599976,670.716553,12988
2017-06-23,731.599976,734.950012,724.000000,726.099976,665.674255,12931
2017-06-27,735.000000,735.000000,720.000000,721.650024,661.594543,15895
2017-06-28,721.099976,724.900024,715.150024,718.750000,658.935852,17534
2017-06-29,734.000000,734.000000,717.000000,718.650024,658.844238,11635
2017-06-30,724.900024,724.900024,712.250000,717.049988,657.377319,13714
2017-07-03,718.000000,726.900024,716.049988,719.849976,659.944275,24038
2017-07-04,724.750000,730.000000,719.049988,728.200012,667.599426,112260
2017-07-05,723.000000,767.000000,723.000000,761.700012,698.311646,185847
2017-07-06,755.000000,762.000000,752.049988,756.450012,693.498535,101152
2017-07-07,754.849976,774.750000,752.000000,768.400024,704.454102,23749
2017-07-10,760.099976,768.500000,760.000000,760.750000,697.440735,5508
2017-07-11,761.599976,776.900024,761.049988,767.000000,703.170593,16487
2017-07-12,775.000000,775.000000,759.000000,760.400024,697.119812,26168
2017-07-13,760.500000,771.900024,760.500000,768.250000,704.316528,11751
2017-07-14,766.150024,769.950012,755.049988,761.599976,698.219971,9608
2017-07-17,755.099976,771.000000,755.099976,766.150024,702.391235,11976
2017-07-18,765.049988,769.900024,755.000000,760.700012,697.394958,15976
2017-07-19,764.400024,764.950012,755.000000,759.700012,696.478088,9110
2017-07-20,759.700012,762.700012,756.000000,760.250000,696.982239,8862
2017-07-21,759.000000,777.700012,755.000000,770.450012,706.333435,16087
2017-07-24,770.049988,778.700012,765.000000,772.900024,708.579651,18887
2017-07-25,771.000000,781.200012,770.849976,776.750000,712.109070,44474
2017-07-26,779.000000,779.000000,760.049988,761.599976,698.219971,17373
2017-07-27,761.599976,767.000000,755.049988,759.049988,695.882141,12259
2017-07-28,755.000000,769.000000,755.000000,766.000000,702.253784,9204
2017-07-31,765.000000,769.900024,756.000000,761.150024,697.807434,8898
2017-08-01,764.950012,764.950012,755.000000,758.849976,695.698792,16505
2017-08-02,758.000000,759.299988,745.000000,747.599976,685.385010,9195
2017-08-03,748.000000,750.000000,740.000000,742.349976,680.571899,7527
2017-08-04,744.950012,759.950012,740.099976,750.849976,688.364624,7050
2017-08-07,754.900024,763.000000,750.000000,758.549988,695.423828,8591
2017-08-08,755.049988,762.049988,740.000000,742.950012,681.121948,14561
2017-08-09,740.000000,741.200012,734.049988,735.250000,674.062866,10156
2017-08-10,736.000000,746.400024,733.049988,740.349976,678.738403,19359
2017-08-11,739.849976,740.299988,729.000000,731.650024,670.762451,46470
2017-08-14,731.700012,739.900024,725.049988,732.049988,674.818420,21762
2017-08-16,734.950012,744.650024,730.099976,732.750000,675.463684,11014
2017-08-17,733.000000,737.900024,730.000000,733.150024,675.832458,9221
2017-08-18,732.000000,745.000000,727.000000,740.500000,682.607727,19586
2017-08-21,740.549988,749.900024,740.000000,745.200012,686.940308,26169
2017-08-22,745.000000,752.700012,734.000000,745.000000,686.755981,13098
2017-08-23,741.250000,756.500000,740.250000,752.950012,694.084534,20342
2017-08-24,750.049988,762.000000,748.900024,757.650024,698.416992,15500
2017-08-28,755.049988,765.599976,752.000000,757.250000,698.048279,11913
2017-08-29,754.000000,769.950012,752.000000,763.700012,703.993958,11353
2017-08-30,760.049988,771.000000,760.049988,766.650024,706.713379,7712
2017-08-31,765.049988,773.900024,765.049988,768.950012,708.833496,9781
2017-09-01,773.799988,779.000000,768.000000,776.349976,715.655090,11772
2017-09-04,774.799988,791.000000,774.799988,784.849976,723.490479,29189
2017-09-05,789.799988,789.950012,780.799988,788.650024,726.993469,27145
2017-09-06,788.000000,795.000000,783.900024,790.400024,728.606689,42251
2017-09-07,788.150024,793.099976,780.000000,780.400024,719.388367,18318
2017-09-08,780.000000,804.950012,769.599976,794.049988,731.971252,16105
2017-09-11,805.000000,805.000000,771.049988,784.150024,722.845154,43073
